Tringalwadi,3238 ft,Hill Fort,Kalsubai,Easy,1)Pandav Leni 2)cave situated enroute to the fort prior to the beginning of the steps 3)large cave.,Via Tringalwadi Village -  One is expected to reach Igatpuri railway station; which is well connected by rail route from Mumbai and Nasik. After exit from the station towards the S.T. stand end; there is a junction called Ambedkar Chowk before the S.T. stand. From this junction proceed along the route towards Vagholi col which is at a 30min. of walk. After moving down the col; a left turn takes us to the Tringalwadi village within half-an-hour. Hiring jeep from Igatpuri to Tringalwadi village via Ghoti is also a good alternative to reach Tringalwadi village. Behind Tringalwadi village lies the Tringalwadi dam. After crossing the entire length of the dam wall a road on the right leads us to the foothills of this fort. We come across ‘Pandav leni’ as we approach the foothill of the fort. It takes about half-an-hour to reach the top of the fort.,About 15 persons can be accommodated in the cave over the fort.,One has to make his own food arrangement,Drinking water is available in the cisterns over the fort throughout the year.,About 1 hour via Tringalwadi village.,image_11_1,image_11_2,image_11_3,image_11_4,map_11,2
Harshgad,3500 ft,Hill Fort,Trimbakeshwar,Medium,While climbing the fort; we come across a rock-sheet; which has got steps carved in it. Also many grooves have been carved here for additional support. After climbing these steps; we get upto the entrance door. There is a cavern ahead of this door. Again we come across few steps after a short distance walk from this cavern. On climbing these steps we reach to the main entrance door of this fort. The fort has got a tapering plateau with a raised level in the middle.  One secret – door is located at the edge of this fort; but the way to this door has now got blocked. There is a small temple of Lord Hanumana and Lord Shiva on the plateau. A small pond is there in front of this temple. Water from this pond can be used for drinking. Making headway from here we come across a palace having two rooms in it. 10 to 12 persons can be accommodated in this palace. There are five cisterns along one side of the palace; one of which has water suitable for drinking.,Trimbakeshwar – Khodala - Ahead of Nirgudpada lies the village of Kasurli. One can alight here by boarding the bus of Igatpuri – Trimbakeshwar – Khodala. From this village one has to climb a small hill where Harshewadi is located. From Harshewadi the way to the fort is easy and can be climbed within an hour. Via Kasara or Nasik - One has reach Igatpuri via Kasara or Nasik. From Igatpuri board in a bus for Trimbakeshwar and alight at Nirgudpada; the base village of Harihar. From here a route leads us upto the rock-sheet from where the steps begin. One can reach the fort-top within about two hours via this route.,10 – 12 persons can stay in the palace on the fort.,One has to make his own food arrangement,The cisterns on the fort provide perennial source of drinking water.,Approximately 2 hours via Nirgudpada.About 1 hour via Harshewadi.,image_12_1,image_12_2,image_12_3,image_12_4,map_12,2
Bhudargad,3208 ft,Hill Fort,None,Easy,The fort top is well accessible by tar road. On the way to the top is a temple of Lord Shiva with a neatly carved Nandi. As we reach the top; we can see the temple of Bhairavnath on the right; which is of Hemadpanthi style. There are arches and Deepmaal around the temple. There is a flag post near the temple.,Peth Shivapur is near Gargoti. Kolhapur Gargoti route is well known route with ST buses plying regularly. From Gargoti; we can get a jeep or a six-seater till Pal village; which is 5 km away. From Pal; Path Shivapur is half an hour by vehicle. If we have a private vehicle; we can go to the top of the fort.,Accommodation is available on the fort in the temple; but no resorts / lodges nearby.,Packed lunch recommended,Recommended to carry water; though there is a hand pump near Bhairavnath temple.,About 2 hours from Kolhapur to Peth Shivapur,image_13_1,image_13_2,image_13_3,image_13_4,map_13,3
Gandharvgad,3004 ft,Hill Fort,Kolhapur,Easy,We reach the fort in an hour from Valkuli village; which is the base village. On reaching the entrance; we see Hanuman on the right side of the road. There are residences on the fort. Further on this way is the temple of Lord Chaloba. Ahead is an ancient well; which has potable water. There is a ground in front of Chaloba temple; where there were remnants of old palace of the Sawant. Nothing can be seen now. In the eastern part of the fort; we can find some plinths. Then we can move to the southern side of the fort. The ramparts on the southern side are intact and spacious. There are 3 secret passages in the walls here.,Best Option is to take some one from village and go to top of the fort.,Available ,Available ,Available ,Sorry!! No Data Available,image_14_1,image_14_2,image_14_3,image_14_4,path,3
Mahipalgad,3200 ft,Hill Fort,Kolhapur,Easy,As we approach the fortified town; we come across the ruins of the fort. There is a magnificent statue of Shivaji Maharaj near the main entrance. We can see the complete fort in a couple of hours. If we go straight on the main lane; we reach the citadel of the fort. Inside this citadel is a big cistern; about 70 ft long and 40 ft wide. This is the main water source on this fort. Behind this cistern is the temple of goddess Ambabai. If we take a round along the edge of the mountain; we can see many dilapidated structures; most of them built with laterite stones. To the eastern point is a huge bastion; still intact. There is a Shiva temple near this bastion. As we roam within the community; we can see remnants like stone vessels for water in front of many houses. Due to lack of support from community as well the government; the fort is not maintained properly.,Dewarwadi is about 17 km from Belgaum; eastwards on SH 121. Buses ply from Belgaum to Dewarwadi as well as Mahipalgad. Sundi is 5 km away from Mahipalgad. Kolhapur is 125 km north of Mahipalgad; on NH4.,Available in Mahipalgad,Packed Lunch is Recommended,Available,Travel time - 2-3 hours from Kolhapur; 45 min from Belgaum. Hiking from Dewarwadi may take an hour or more.,image_15_1,image_15_2,image_15_3,image_15_4,path,3
Panhalgad,4040 ft,Hill Fort,Kolhapur,Easy,1.Palace 2.Sajjakothi 3.Rajdindi 4.Ambarkhana 5.Char Darwaja 6.Lake Somale 7.Samadhi of Ramchandra Amatya 8.Sambhaji Temple 9.DharmKothi 10.Mahalaxmi Temple 11.Baji Prabhu Monument etc.,There are two ways to reach Panhalgad > From Char Darwaja - From Kolhapur city you can easily opt for a Bus or hire a vehicle which takes us to the top from Char Darwaja. From Teen Darwaja -This is another way which goes to the fort from 3 Darwaja.,Hotels and restaurants are there on the fort; good accommodation and food facility.,Available,Good water facility through out the year.,One can reach Panhalgad from Kolhapur city in one hour by vehicle.,image_16_1,image_16_2,image_16_3,image_16_4,map_16,3
Vishalgad,3350 ft,Hill Fort,Kolhapur,Medium,1.Amruteshwar Temple 2.Shri Nrusinha Temple 3.Takmak Tok 4.Sati’s Vrindavan 5.The Dargah or tomb of Hazrat Malik Raihan. Thousands of Devotees visit the Dargah every year. 6.Samadhis built in the memory of Baji Prabhu Deshpande and Phulaji Prabhu Deshpande; who laid down their lives to protect Chhatrapati Shivaji from the clutches of Siddhi Johar while escaping from fort Panhala to Vishalgad.,Kolhapur to Vishalgad Distance is 80 km. We can Reach Vishalgad by two ways. 1.Kolhapur Malkapur-Pandharpani(Pavankhind)-Bhattali-Gajapur-Vsihalgad 2.Kolhapur-Malkapur-Amba-Gajapur-Vishalgad There are lot of STs available from Kolhapur to Vishalgad,You can live in Hardikar Vitthal Mandir,Available,Good water facility through out the year.,1/2 Hours from Base.,image_17_1,image_17_2,image_17_3,image_17_4,map_17,3
Chandan - Vandan,3800 ft,Hill Fort,Satara,Easy,Fort of Chandan- Formerly; the way near the entrance of Chandan was difficult to access. But recently the way has become broader because of mosque situated at that place. There are two bastions at the entrance gate which are presently in a half demolished state. Approximately about 15 steps ahead of this on the left hand side lies a demolished edifice. There is a banyan tree at the upperside of this structure which is known as ‘Panchvad’; as it is comprised of five banyan trees. There is a temple of lord Shiva near the tree. Both the “Pindis” in the temple are comprised of five “Lingas”. In the month of ‘Shravan’; the 32fth month of Hindu year; there is a pilgrimage every year in this temple. Villagers have refurbished the temple. Huge stones; arranged one above the other; can be seen at about 10 steps ahead from the temple. Fort of Vandan- There are two entrance doors for this fort. The first entrance door is sturdy having bastions which are still intact. There is an idol of lord Ganesha on the left bastion. There were about 25 well-constructed steps ahead; which were destroyed in the battle of 1818. The second entrance door has completely tumbled down. Persian inscriptions can be seen on the arch of this door. There are five porches inside this entrance door which together form the L-shape. Rock-slide has blocked the way ahead. Further on there are few steps; downside of which lies a route along which one can traverse around the fort completely.,Fort of Chandan-  There are two ways to reach Chandan- 1) Via Belmachi Village-Half an hour will be required to climb the fort from the rock patch in front of the col. One reaches on the southern part of the fort through this route. The other way goes around the fort; with the fort lying on the left side of the way. 2) Via Lagadwadi Village--There is a village named Lagadwadi situated ahead of Belmachi. One has to walk across the plains of this village and then cross the headland. The road from Ibrahimpur village meets this way ahead. From here the route goes up to the fort top. It takes about two and half hours to reach the fort of Chandan. Fort of Vandan- Ways to reach the fort- To the right of col; lies the fort of Vandan. This route takes us to the entrance door of the fort within 10 minutes.,About 30 to 40 persons can be accommodated in the mosque.,One has to make arrangement for his own food.,Drinking water is available on the fort only during rainy season.,Approximately about 3 hours will be required to reach the fort of Chandan while about 2 hours are required to climb up the fort of Vandan.,image_18_1,image_18_2,image_18_3,image_18_4,map_18,4
Kalyangad (Nandgiri),3500 ft,Hill Fort,Satara,Easy,While going up towards top of the fort we see two entrances. The first gate faces the north. We see a temple after entering this gate. One way goes down towards the rampart along the temple. Here we can see a gallery. This is the most spectacular place on the fort. This gallery is 30m deep. There is water on both sides of the way inside it. On both sides of path there are iron rods at the end of the gallery. It is dangerous to go inside in rainy seasons. After seeing the gallery you should come back to the first door. The path; made up of steps; leads us to the door facing east. On entering the fort by this path we come across the temple of Lord Hanuman. There is a Bamanghar to left where we may find any hermit meditating. In front of the Bamanghar; there is a memorial of Kalyan Swami; who was a disciple of Ramdas Swami. There is a ruined temple of Shree Ganesh and a big lake ahead. A few steps ahead are the remnants of palaces. After going straight from this way for 10 minutes we reach to eastern part of the fort. From this point; we can see Jaranda; Ajinkyatara; Yavateshwar; Chandan; Vandan; Morya and Vairatgad. It takes approximately half an hour to watch the top of the fort.,There is only one way to reach the fort. This way is from the base village of Nandgiri (Dhumalvadi). Board a bus for Satara Rd. from Satara station. Distance between Satara Rd and Nandgiri is 3 km. From here board a bus for Kinhaee; on the way to which Nandgiri is situated. Buses are available for every half an hour from Satara to Kinhaee. It takes 45 minutes to reach to the fort. There is a cave on this way.,5 to7 people can stay at Hanuman Mandir on the fort or in the compound of Bamanghar.,One should arrange for food himself.,Drinking water is available for whole year from the syrinx mentioned above.,45 min. from base,image_19_1,image_19_2,image_19_3,image_19_4,map_19,4
Sajjangad,3350 ft,Hill Fort,Satara,Easy,The first entrance to the fort is known as Chhatrapati Shivaji Maharaj Dwar. It faces southeast. The second gate is Samarth Dwar and faces east. Even today these gates are closed after 10 pm. There is a tree at right side of the entranceway of the fort. From this tree; there is a way to the right. After walk of 15 minutes; we reach the place known as Ramghal. This was the place of meditation for Samarth Ramdas. After entering into the fort; turn to left. There is a lake by name Ghodale; which was meant for horses. Behind this there is a building similar to a mosque and the temple of Anglai. Samarth Ramdas discovered the idol of Anglai in Angapur; along with the idol of Shreeram in Chaphal. After visiting to these places; to come back from the same way towards the lake and go straight.,From Gajwadi - Gajwadi is 3 km before Parali Rd. From this place it’s possible to reach at the top of the fort directly by vehicle. After going 100 steps further; we reach at the gate. It takes 15 minutes approximately to reach to the fort from road.From Parali -The distance between Satara and Parali is 10 km Parali is at the base of fort. To reach to the fort; one has to go by 780 steps and these steps take you to the main gate of the fort. One hour is enough to reach the top from Parali.,Rooms are availed by Shree Samarth Seva Mandal office. Lodges are available on the fort  Rooms availed by Sajjangad Seva Mandal.,Available,Available,1 Hour from parali village,image_20_1,image_20_2,image_20_3,image_20_4,map_20,4
Santoshgad,2900 ft,Hill Fort,Mhasoba; Satara,Easy,Santoshgad is divided into three parts. First part of the fort is the protective (defensive) fortification; second part is the flat portion on the mountain and the topmost part is the “Balekilla” or the top citadel. There is a ‘Math’ (cloister/ monastery) on the way to Santoshgad. Besides this monastery is a cave with water storage tank. Also; there is a statue of “Valmiki Rishi”. There is an entrance on the upper side of the monastery; for which we need to go around it. The path to the left side of the monastery goes along the fort walls and takes us to the main entrance. There is a small temple on this way. There are hardly any remnants of the main entrance; but the porches (meant for guards) are still intact. After entering through this door; a tank called ‘Hanuman Take’ can be seen. Behind this tank are many dilapidated structures and some old warehouses. Behind these buildings is a huge water tank with steps carved into walls of the tank for descending. There is a Shiva temple inside.,Tathawada village is situated 19 km Southwest of Phaltan. Phaltan. There are Maharashtra State Transport buses available for every half an hour from Phaltan to Tathawada. We can get down at Tathawada village; by the Satara-Phaltan bus which passes through PuseGaon-MolaGhat. The distance between PuseGaon and Tathawada is about 23 kms. There is a proper trail from Tathawada to the fort. It takes half an hour by this route to reach to the fort. There is a restored temple of ‘BalSiddha’ in Tathawada village; which was restored in 1762. Private vehicles can help us see all the 4 forts in this range 2 days. Pune to Phaltan driving distance is about 2 and half hours.,None,Own Food Recommended,There is water tank on the fort; which has potable water.,Approximately half an hour from the base village,image_21_1,image_21_2,image_21_3,image_21_4,map_21,4
Vairatgad,3340 ft,Hill Fort,Mahabaleshwar,Medium,Top of the fort is actually very small. There are remnants of old buildings. The bastion at the entrance is dilapidated. One can see 5-6 cisterns to the left of the main gate; on the lower side of the cliff. There is a small cave to the right. Climbing up 20-25 steps further; we reach the top. To the left there is Hanuman temple. Even outside the temple there is an idol of Hanuman. Plinths can be seen in surrounding area. The rampart is still in a good condition. One can climb down to the village Mhasava from a gap in the cliff opposite to the main entrance. There is a hillock near it and on a stone there are some indecipherable writings. Further search might reveal some more interesting discoveries. It takes approximately one hour to see the fort.,One should alight down at Kadegaon bridge; 4 km away on Wai-Satara road. From Kadegaon bridge come to village Vyajvadi. There are two ways to reach to the fort from the village of Vyajvadi. The way frequently used takes more time. The other one goes from the left side. It takes half an hour to reach the fort by the latter way while the first one takes one hour. Both ways meet after some distance; from where it takes only 10 minutes to reach the top of the fort. The last part in this path is quite slippery. To the opposite side of Vyajvadi; there is a village by name ‘Mhasava’. There is away from here; but very slippery.,Accommodation Facility -8 to 10 people can live in the Hanuman temple.,Disciples of Gagangiri Maharaj reside on the fort and can make food for two to three people.,Water is available all the year. There are 5-6 cisterns at the left of the main entrance gate,1 and half hour approximately.,image_22_1,image_22_2,image_22_3,image_22_4,map_22,4
Vardhangad,1500 ft,Hill Fort,Mhasoba; Satara,Medium,The path from the hamlet takes about half an hour to ascend with ease and goes diagonally up the south slope; till it reaches the middle of the south side where is the only gateway reached by a turn to the south-west. The gate is in good condition. After crossing the gate; a little further up one comes across a small temple of Mahadev. The top of the temple is dilapidated. The base of the temple is built of stones and is in good condition. Near the temple is a banyan tree. To the south of the temple are two ponds. The water in them is not potable. F37As we climb a little further on the left side of the Mahadev temple; there is a temple of Vardhinidevi. On the outer side of the temple is a hall; the roof of which is being repaired by the Grampanchayat. Outside the temple is a dipmal; in front of the standing idol facing east. The base of the temple is built of stone and the upper part is built of bricks. There is an idol of Parashuram in the hall. It is said that; there is a tunnel leading to Mahimangad. The door of the tunnel is now covered with prickly pear and stones.,Vardhangad hill fort lies on the Bhadle-Kundla spur of the Mahadev range at a point of it on the boundary between the Koregaon and Khatav talukas; 20 KM from of Koregaon. It is a round-topped hill rising about 900 feet above the plain below on the west or Koreganv side and about 700 feet on the east or Khatav side. Steps Leading to top of the fort.,In Vardhinidevi temple,One Has to arrange own food,Yes. Throughout the year.,30 minutes (from base village),image_23_1,image_23_2,image_23_3,image_23_4,map_23,4
